	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Mgmt/Control	0.0494854152203	-0.0397607795894	-0.015829641372	0.0279305074364	0.0836461409926	-0.00605305563658	-0.0439974740148	0.00164839066565	-0.0462641268969	-0.0382858105004	-0.0422859340906	-0.00438289903104	0.0411672666669	-0.0202890764922	-0.00764217227697	0.0159746147692	0.00789400562644	-0.0445900708437	0.0121767325327	-0.0285576302558	-0.0582381188869	0.04170018062	-0.0110153630376	0.0740504413843	-0.0167072545737	0.124514631927	0.0544941946864	0.00132323475555	-0.0354934744537	0.0426265820861	-0.0404774807394	0.056178689003	0.03727344051	-0.0239670909941	-0.0544185377657	-0.0135815776885	0.0224201884121	0.0308003686368	-0.0130047909915	-0.0199378691614	0.0511891283095	-0.045513484627	-0.0307520199567	0.0110480934381	-0.0366484336555	-0.0614228099585	0.0450965799391	-0.0179501939565	0.0497511029243	-0.0475757196546	0.0141837568954	-0.0486429855227	0.0111334491521	0.00891929585487	0.0118526881561	-0.00740874977782	0.0159656535834	0.0449339672923	0.0110267689452	0.0199528709054	-0.0403656177223	0.00526572391391	0.016602165997	0.00166619685479	0.0734462589025	-0.0372572652996	-0.0532495602965	-0.0224626194686	0.0157678760588	-0.055711273104	0.00495893647894	-0.018665170297	-0.0412928573787	-0.0206341799349	-0.00860603805631	-0.0332357659936	-0.00753147201613	-0.00713174790144	-0.0179899837822	0.0396974608302	-0.0135457171127	-0.0193112045527	0.0412037074566	0.00717782089487	0.000241327550611	-0.0168017949909	0.00231693987735	-0.0471426621079	0.0069532408379	-0.0236183460802	-0.0176254063845	0.0585323236883	-0.0398100204766	0.0177072286606	0.0269135963172	0.00794678926468	0.053065944463	0.0307025238872	0.00123730208725	0.0122450906783
Requirements	0.0707758292556	-0.056761443615	-0.0160912964493	0.0338148921728	0.102652750909	-0.00963056646287	-0.0536809191108	0.0052272984758	-0.0612893998623	-0.0483674295247	-0.056957103312	6.87927240506e-06	0.0585478655994	-0.0239939838648	-0.0107157230377	0.0242082849145	0.0176594518125	-0.0657284706831	0.0187143478543	-0.0394936837256	-0.076334014535	0.05096482113	-0.013420294039	0.0953330248594	-0.0233807973564	0.150173276663	0.0600741989911	0.00376931158826	-0.0425904393196	0.0547717958689	-0.051158182323	0.0711867809296	0.037731256336	-0.0306833721697	-0.0729443505406	-0.00979559496045	0.0268920268863	0.0371136106551	-0.0156819373369	-0.0231145489961	0.0628864094615	-0.0633959472179	-0.0378376059234	0.00612383289263	-0.0546501912177	-0.0864137262106	0.0537896007299	-0.0290281176567	0.0604438707232	-0.0705376341939	0.0139445876703	-0.0566612407565	0.0158387124538	0.00974159687757	0.0124609759077	-0.0178496781737	0.0213696584105	0.0559314005077	0.00587821099907	0.0342404097319	-0.052409671247	0.00355823105201	0.024620173499	-0.00472308043391	0.088699772954	-0.0545173063874	-0.0668600872159	-0.0218618046492	0.0148463090882	-0.0708377808332	0.00791278015822	-0.0283768754452	-0.0595425106585	-0.020913483575	-0.014666208066	-0.0482332259417	-0.0139039298519	-0.00456252647564	-0.0252982098609	0.0561187416315	-0.0134715922177	-0.0158589780331	0.0552801676095	0.0125774638727	-0.00575095834211	-0.0188229642808	-0.00749541912228	-0.0705218017101	0.006895262748	-0.0238376632333	-0.0300453659147	0.0861399769783	-0.0558096580207	0.0178734995425	0.0339869521558	0.0122239971533	0.068843960762	0.0386607199907	0.000407439947594	0.0125610493124
Role	0.0947203338146	-0.0723154321313	-0.0328146070242	0.0468864813447	0.146290436387	-0.0168660413474	-0.0681867748499	0.014646044001	-0.0837018936872	-0.0692117661238	-0.0762357115746	-0.00181176583283	0.0827747359872	-0.0387377664447	-0.0175993796438	0.0311326552182	0.0192690175027	-0.0880561172962	0.0296883694828	-0.0645022913814	-0.107162944973	0.0709091201425	-0.0202862042934	0.136569410563	-0.027271669358	0.217982187867	0.0905536189675	0.00757763395086	-0.0616167783737	0.0869006216526	-0.0684825479984	0.108040906489	0.064556196332	-0.0496989488602	-0.0991768464446	-0.0172225963324	0.0470147393644	0.0507417358458	-0.0116790328175	-0.0323964469135	0.0963200628757	-0.0882813557982	-0.052188757807	0.0176445376128	-0.0754599422216	-0.119321420789	0.0845463052392	-0.0345896184444	0.0858394354582	-0.095343336463	0.0204788707197	-0.0839246660471	0.0237213801593	0.0168932452798	0.0218756534159	-0.0183864813298	0.0284786075354	0.0814422518015	0.0115517247468	0.0410058945417	-0.07921859622	0.00603419775143	0.0349132120609	0.000288740062388	0.123242869973	-0.0749575868249	-0.0932532921433	-0.0321572087705	0.0221554469317	-0.110458478332	0.00439185230061	-0.0359707027674	-0.079537704587	-0.0304561965168	-0.0164299942553	-0.0696154162288	-0.0140642244369	-0.00274529797025	-0.0326036177576	0.073240339756	-0.0178670100868	-0.0291933938861	0.0787049606442	0.0156386923045	-0.000381766527425	-0.0208580177277	-0.00543908216059	-0.0962788015604	0.0159531161189	-0.040395680815	-0.041058357805	0.110945768654	-0.0714661628008	0.0221827961504	0.0479347147048	0.0210913680494	0.0958321988583	0.0568845234811	-0.000309144612402	0.0178565438837
Scope	0.241740599275	-0.187549903989	-0.0706476047635	0.113491609693	0.369132608175	-0.0250067934394	-0.175661578774	0.0344208590686	-0.200382694602	-0.165938198566	-0.204528316855	-0.00343210925348	0.194118261337	-0.10686558485	-0.0576778575778	0.0808231011033	0.0436578020453	-0.223353281617	0.0603420734406	-0.149027988315	-0.271255850792	0.182424589992	-0.046687245369	0.339270144701	-0.0833971202374	0.550181567669	0.225939497352	0.019409969449	-0.168078094721	0.213161319494	-0.184481084347	0.263506442308	0.144116804004	-0.107524596155	-0.262680590153	-0.047305110842	0.10437413305	0.130593806505	-0.0437140092254	-0.0770019739866	0.230064049363	-0.223841309547	-0.120455600321	0.0335719957948	-0.191724792123	-0.284405440092	0.211223974824	-0.0870482996106	0.209342628717	-0.230458661914	0.063170298934	-0.208752945065	0.054237678647	0.0426856949925	0.0509111620486	-0.0464554838836	0.0646891370416	0.186872467399	0.0352673083544	0.10842051357	-0.188736900687	0.014380088076	0.0883576348424	-0.0166900288314	0.319193840027	-0.193377524614	-0.230591669679	-0.0851977616549	0.0499440021813	-0.270204305649	0.011692950502	-0.0847661718726	-0.210578590631	-0.0802665427327	-0.0447515659034	-0.169420421124	-0.045809879899	-0.0103316549212	-0.0975349992514	0.188194468617	-0.0531241931021	-0.0714566931129	0.206136956811	0.0362170189619	-0.0123165762052	-0.0514648295939	-0.010465615429	-0.231561437249	0.0352035164833	-0.0943587124348	-0.0996329709888	0.291092842817	-0.188250571489	0.0711382254958	0.122801944613	0.055955901742	0.244534015656	0.143158510327	-0.0165071543306	0.0370661206543
Include	0.249063745141	-0.198075369	-0.0784365162253	0.117155507207	0.382724821568	-0.0303384438157	-0.184662565589	0.0288724619895	-0.210328862071	-0.175509035587	-0.213159561157	-0.010375039652	0.205749034882	-0.107007354498	-0.0526572205126	0.0756913498044	0.0529011897743	-0.23423692584	0.0674344524741	-0.163090139627	-0.292851507664	0.192652389407	-0.0436015203595	0.344318985939	-0.0779174715281	0.574284017086	0.243392556906	0.0307504460216	-0.173206433654	0.223307549953	-0.194510921836	0.271878451109	0.152243167162	-0.118691883981	-0.275285512209	-0.0571005679667	0.114570192993	0.135767146945	-0.0427450463176	-0.0738857761025	0.248170807958	-0.233479365706	-0.120520107448	0.0286867208779	-0.193451315165	-0.30319750309	0.212823718786	-0.0885876789689	0.222200453281	-0.246244817972	0.0620695054531	-0.222579970956	0.0571204014122	0.0433630347252	0.0545310899615	-0.0540613979101	0.0669906586409	0.203094527125	0.0375157371163	0.110761500895	-0.197492107749	0.0223243907094	0.0867360755801	-0.00789638329297	0.332222610712	-0.196398794651	-0.240045875311	-0.0894107744098	0.0562862306833	-0.273907989264	0.00987765565515	-0.0852776020765	-0.217130735517	-0.0865747258067	-0.0512118302286	-0.175049722195	-0.0438328720629	-0.0164548400789	-0.102844834328	0.190186813474	-0.0518497154117	-0.0781980529428	0.218126520514	0.0458941794932	-0.0126410964876	-0.0616197995842	-0.0103463437408	-0.247990980744	0.0387754663825	-0.0971388816833	-0.107267834246	0.29542350769	-0.197310939431	0.0657171607018	0.129913881421	0.0548201389611	0.253246426582	0.151255205274	-0.0128164067864	0.0423998013139
Non	0.106807917356	-0.0758095309138	-0.0359014570713	0.0518750585616	0.163535520434	-0.00991293508559	-0.0788634195924	0.0164653975517	-0.0834403634071	-0.0674900189042	-0.0886826813221	-0.00554380798712	0.0884626433253	-0.0403647497296	-0.0239232201129	0.0371050350368	0.0188935101032	-0.0938440784812	0.0232039708644	-0.0660194307566	-0.118246108294	0.0832631960511	-0.0171212740242	0.145873755217	-0.0291924364865	0.23428286612	0.103380985558	0.0148503379896	-0.0744170919061	0.0872633904219	-0.0798281505704	0.112078592181	0.0677360519767	-0.0514252968132	-0.115887321532	-0.0224681682885	0.0441722124815	0.0541442260146	-0.0203219372779	-0.029523583129	0.095598988235	-0.100770808756	-0.0493658259511	0.00937191583216	-0.0772828683257	-0.130165979266	0.0880117192864	-0.0354673229158	0.0934880748391	-0.103993393481	0.0259806402028	-0.0849859192967	0.0204483382404	0.0190884880722	0.019713524729	-0.0217967107892	0.0288263596594	0.0833677127957	0.00881144497544	0.0470043346286	-0.0818520337343	0.00424613291398	0.0403075218201	-0.00704679545015	0.136039018631	-0.0841966122389	-0.100404113531	-0.0366182737052	0.0217428840697	-0.1148525998	0.00576805649325	-0.0372903607786	-0.0927174165845	-0.0371256768703	-0.0151004800573	-0.0742357894778	-0.0157695189118	-0.0054615191184	-0.0420210622251	0.0812965333462	-0.0177193917334	-0.0355895645916	0.0882325172424	0.0229965429753	0.000103973026853	-0.0282465200871	-0.00802087504417	-0.0998145490885	0.0128808477893	-0.0364082716405	-0.044464442879	0.123672910035	-0.0826611146331	0.0249601639807	0.0502405650914	0.0271632615477	0.108311653137	0.0682754665613	-0.000721130054444	0.022214261815
Business	0.13624638319	-0.108510434628	-0.0476191528141	0.0634993985295	0.219271913171	-0.0107062635943	-0.11063554883	0.0111617874354	-0.113582789898	-0.103634893894	-0.120735540986	-0.000891673204023	0.116867102683	-0.0607499703765	-0.0357157364488	0.0392254926264	0.030678877607	-0.129007771611	0.0398286506534	-0.0869997292757	-0.164465174079	0.108941420913	-0.0207618046552	0.196192383766	-0.0475815907121	0.321295142174	0.130211666226	0.0177793260664	-0.0972250699997	0.123966567218	-0.103825874627	0.155385434628	0.091504201293	-0.0701836198568	-0.156203746796	-0.0324543081224	0.0615686327219	0.0769990384579	-0.025418644771	-0.0423609353602	0.135481163859	-0.127185463905	-0.0747616067529	0.015562533401	-0.109445974231	-0.167884334922	0.117027007043	-0.0533590875566	0.125827282667	-0.142865136266	0.0310796890408	-0.118410490453	0.0253065656871	0.018316173926	0.0239761192352	-0.0322765298188	0.0402440205216	0.109895668924	0.0208905637264	0.0650417506695	-0.113022260368	0.0152582973242	0.0447796359658	-0.0102685056627	0.186055004597	-0.112568832934	-0.13956515491	-0.0441680885851	0.0286404266953	-0.160254076123	0.00335228536278	-0.0447386093438	-0.128255352378	-0.0449977517128	-0.0244415476918	-0.0948897600174	-0.020645275712	-0.00337980361655	-0.050110142678	0.113288417459	-0.0262085888535	-0.045826446265	0.120055995882	0.0204091910273	-0.00488747144118	-0.0290740597993	-0.0123595064506	-0.133641138673	0.0269741378725	-0.0556681826711	-0.0551889948547	0.169108003378	-0.110364705324	0.0341254733503	0.0701568797231	0.0283713154495	0.138325929642	0.0918100178242	-0.00601204438135	0.0222454573959
Exec	0.156725108624	-0.127617105842	-0.0492267683148	0.0717986300588	0.246993198991	-0.0235391762108	-0.125983864069	0.0225367154926	-0.141034796834	-0.114408627152	-0.134198442101	-0.00627807248384	0.139749318361	-0.0718330144882	-0.0339036919177	0.055405497551	0.0279629305005	-0.146805748343	0.0474183410406	-0.09958525002	-0.182550475001	0.129089191556	-0.0338178314269	0.224457994103	-0.0552808865905	0.370368480682	0.157666563988	0.0163290146738	-0.114963747561	0.144953221083	-0.126041308045	0.170239940286	0.100046619773	-0.0704319253564	-0.171172678471	-0.0296600610018	0.0724281817675	0.081818446517	-0.0219143331051	-0.0470816008747	0.154911950231	-0.154627591372	-0.0839981585741	0.0254053492099	-0.12541885674	-0.190317884088	0.138841718435	-0.0603040494025	0.141214907169	-0.160427361727	0.0424081198871	-0.134233683348	0.0336408689618	0.0303115993738	0.0331847369671	-0.0357712991536	0.0379727743566	0.125377431512	0.0160858482122	0.0642500296235	-0.123637624085	0.00973082892597	0.0580287985504	-0.0111858537421	0.217162817717	-0.134902477264	-0.149552837014	-0.0603613443673	0.0347027815878	-0.179122805595	0.0096064209938	-0.0605028159916	-0.147864878178	-0.0564637705684	-0.0301686320454	-0.115379482508	-0.032980311662	-0.00758202839643	-0.0615852326155	0.129650771618	-0.0304428488016	-0.0506761670113	0.134603500366	0.025602357462	-0.00112419493962	-0.0371231324971	-0.00335655827075	-0.160092696548	0.0247193351388	-0.0675139576197	-0.0705643594265	0.194210767746	-0.127338737249	0.0418986976147	0.0824295282364	0.033127296716	0.159647852182	0.104716151953	-0.00274127302691	0.0294307302684
Interfaces	0.0186480600387	-0.0108655327931	-0.00582539429888	0.0111391656101	0.0336916744709	9.75259172264e-05	-0.0121001107618	0.00651000533253	-0.0171666517854	-0.0093011893332	-0.0201992094517	-0.00477167917415	0.0119222346693	-0.0117898657918	-0.00131184561178	0.00364804640412	0.00579352770001	-0.0177113097161	0.00190223532263	-0.00909937545657	-0.0253960117698	0.0154973650351	-0.00675136502832	0.0290060639381	-0.00349949137308	0.0424587652087	0.0189592558891	0.00561358965933	-0.0178789366037	0.0143772177398	-0.0154207115993	0.0208080857992	0.0126951634884	-0.0126665569842	-0.0189836490899	-0.00700285378844	0.0102001735941	0.00691401399672	-0.00404309947044	-0.00486122397706	0.0185624063015	-0.0172701328993	-0.00618395628408	-0.000111541798105	-0.0169722046703	-0.0190304275602	0.017289115116	-0.011808052659	0.0143300518394	-0.0201038792729	0.00497866328806	-0.0145902596414	0.00217949808575	0.0006459922879	0.00856801960617	-0.00759425805882	0.00777458725497	0.0115443374962	0.000782699382398	0.00509033771232	-0.0120261311531	0.00405141059309	0.00873260665685	-0.00433472683653	0.0236982107162	-0.0193164274096	-0.0189120545983	-0.00803163088858	0.00760869309306	-0.0262493621558	-0.000479883427033	-0.00521578220651	-0.0138867497444	-0.00935719721019	-0.00181131251156	-0.0128370923921	-0.00870623160154	0.00118478806689	-0.0045756790787	0.0163629148155	-0.00629160320386	-0.00963370129466	0.0211910251528	0.00140231847763	0.00087516172789	-0.00203862297349	0.000879411352798	-0.0228402819484	0.000803787377663	-0.00882843043655	-0.00708006694913	0.0241580810398	-0.0158587712795	0.00397024769336	0.0143284192309	0.00548642780632	0.0228412728757	0.012522129342	-0.00522148283198	0.00789672788233
to	0.21089437604	-0.158144295216	-0.0676239132881	0.0907169729471	0.318918794394	-0.0213286392391	-0.155501738191	0.0194378122687	-0.178919419646	-0.147926405072	-0.180065199733	-0.00627827364951	0.181862801313	-0.0944645777345	-0.0450412817299	0.0707306265831	0.0413177423179	-0.200775846839	0.0547230876982	-0.133802801371	-0.247008666396	0.159000590444	-0.0328278951347	0.295579999685	-0.0710907056928	0.478887498379	0.199522271752	0.0235883034766	-0.145687758923	0.181568026543	-0.15915684402	0.23228982091	0.132342964411	-0.101511918008	-0.232343435287	-0.0410686247051	0.0914519801736	0.111244261265	-0.0289404243231	-0.0682696402073	0.206175982952	-0.197931572795	-0.11022348702	0.0237149894238	-0.168636783957	-0.255878061056	0.179517686367	-0.0811998099089	0.186807349324	-0.209702640772	0.0542992390692	-0.187421768904	0.0436470471323	0.0294287912548	0.047476593405	-0.042518440634	0.0507262051105	0.169378370047	0.0269149448723	0.0941894426942	-0.170000091195	0.0126080075279	0.0808250904083	-0.00569348502904	0.275708734989	-0.173141568899	-0.20308381319	-0.0783659145236	0.04944152385	-0.22980928421	0.0051312004216	-0.0753299072385	-0.19032202661	-0.0710191354156	-0.0411029905081	-0.145799875259	-0.0375227220356	-0.00785655528307	-0.0867203623056	0.165650457144	-0.0403771959245	-0.0672745928168	0.179893955588	0.0346177741885	-0.00916503276676	-0.0460040867329	-0.0110819377005	-0.210402458906	0.0306177400053	-0.0873699039221	-0.093141824007	0.251944869757	-0.163669720292	0.0583188533783	0.104694664478	0.0439740084112	0.208215788007	0.132733553648	-0.0120180482045	0.0374208465219
